2024-10-23 15:11:22.4202|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.4781|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.4878|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.4971|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.4971|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5140|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5140|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5300|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5300|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5446|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5446|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5597|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5597|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5750|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5750|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5900|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5900|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.5900|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6111|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6111|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6249|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6249|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6414|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6414|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6578|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6578|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6736|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6835|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.6984|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7147|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7147|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7376|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7462|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7462|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7631|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7631|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7856|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7961|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.7961|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8148|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8148|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8279|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.8279|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
